	file_origin	file_target	condition pair count	total pair count	%	cosine(avg)	pearsonr(avg)	spearman(avg)	cosine(max)	pearsonr(max)	spearman(max)
2009	semaxanib.csv	cephalotaxine.csv	8	152	0.0526315789474	0.148688638194	0.14701589217	0.127093326255	0.628726908268	0.628507139594	0.622445669495
2013	semaxanib.csv	pivmecillinam.csv	11	513	0.0214424951267	0.135588673483	0.136215085761	0.10590969432	0.41077495939	0.411300566709	0.418523494262
2023	semaxanib.csv	GP-1a.csv	8	361	0.0221606648199	0.147090206365	0.14570366277	0.112324373023	0.537538726226	0.536833837416	0.525705277691
2041	semaxanib.csv	hippeastrine.csv	19	361	0.0526315789474	0.122175026649	0.121802751159	0.0908537172859	0.60948837129	0.622187331499	0.662093009026
2046	semaxanib.csv	LY-341495.csv	8	361	0.0221606648199	0.0610007037802	0.0624361907994	-0.00472083386004	0.496754618109	0.49592971769	0.417181437336
2051	semaxanib.csv	tremorine.csv	8	418	0.0191387559809	0.0783770590723	0.0749076224814	0.016250038714	0.61665435617	0.617337956182	0.608528270881
2061	semaxanib.csv	levonorgestrel.csv	19	779	0.0243902439024	0.116280634407	0.114193460634	0.0779533883819	0.479179743708	0.478941897547	0.540492264449
2077	semaxanib.csv	cephaeline.csv	11	323	0.0340557275542	0.0733177997803	0.073047336745	0.0329477620335	0.24619082619	0.246390720022	0.288767800038
2083	semaxanib.csv	zolantidine.csv	8	361	0.0221606648199	0.203824597393	0.203618136153	0.197032430665	0.63164287552	0.631656790512	0.656106669111
2091	semaxanib.csv	apoptosis-activator-II.csv	11	361	0.0304709141274	0.200759452851	0.199434243695	0.204270078577	0.578885929717	0.574279035677	0.645749183796
2135	semaxanib.csv	T-0156.csv	11	513	0.0214424951267	0.00386019708478	0.00461023263853	-0.053387225713	0.168025677908	0.169218542907	0.198698729674
2143	semaxanib.csv	YM-976.csv	8	361	0.0221606648199	0.0711559731843	0.0704072712435	0.0615716656079	0.250668636067	0.247883200635	0.314863370377
2147	semaxanib.csv	AG-490.csv	8	874	0.0091533180778	0.178584832264	0.178801335114	0.142160875862	0.633136073182	0.633470181472	0.568817381975
2183	semaxanib.csv	tropanyl-3,5-dimethylbenzoate.csv	11	361	0.0304709141274	0.00160138182804	0.000335972440493	-0.047202890676	0.25422776615	0.25181423705	0.306019973006
2202	semaxanib.csv	sulmazole.csv	8	361	0.0221606648199	0.0685406837161	0.0671206663332	0.0224554107062	0.234003026755	0.231712465636	0.300376240657
